"compresion","imagen","peso","resolucion","tasa_compresion"
"Index","78",9762466,"1080p",2.40656837069146
"Index","80",7027206,"1080p",2.41404025389449
"Index","5",5651594,"1080p",2.41745914149226
"Index","84",7272526,"1080p",2.41789525339518
"Run","109",4336697,"1080p",2.4216480418851
"Run","94",4435772,"720p",2.42210982288094
"Index","41",3491722,"720p",2.42336806965309
"Index","118",7299470,"1080p",2.42593143421177
"Index","81",4140782,"720p",2.43151898369957
"Index","15",8396514,"1080p",2.43295061232946
"Run","78",4558821,"720p",2.43537170391897
"Index","91",3745318,"720p",2.4357162088516
"Index","81",8351750,"1080p",2.43621587642368
"Run","66",9090817,"1080p",2.44222323890292
"Diff/Luma","10",2307625,"1080p",2.45105849188672
"Run","50",4346901,"720p",2.45591512182114
"Index","107",7613554,"1080p",2.45881676640518
"Index","71",3934946,"720p",2.46140113507492
"Index","8",4361902,"720p",2.46285561029318
"Index","106",8318374,"1080p",2.46340127174258
"Index","118",3562050,"720p",2.46501144601825
"Index","71",8062318,"1080p",2.47001162042241
"Run","91",3810065,"720p",2.47782353254868
"Run","109",2565638,"720p",2.47797708272164
"Run","37",4310320,"720p",2.47801571094799
"Index","80",3646922,"720p",2.48024467011428
"Run","56",4338562,"720p",2.48063264519656
"Index","91",7826630,"1080p",2.48411055782614
"Index","33",5353286,"1080p",2.48680641527402
"Index","99",7311638,"1080p",2.48771493839266
"Index","61",5856974,"1080p",2.48876037342194
"Run","78",10098498,"1080p",2.48940440645744
"Index","21",4481122,"720p",2.48990369041355
"Run","48",8567738,"1080p",2.49016980640721
"Index","5",3030086,"720p",2.49533763924701
"Index","26",7380842,"1080p",2.49697200564157
"Index","47",8603358,"1080p",2.49738327040545
"Index","57",2914870,"720p",2.50157481801626
"Index","77",3704978,"720p",2.50298299245047
"Run","93",4220782,"720p",2.50444099900375
"Index","115",4224650,"720p",2.5045574865795
"Index","95",2826782,"720p",2.50567698827551
"Index","115",8501902,"1080p",2.50632912885045
"Index","21",9537970,"1080p",2.50783734501803
"Run","34",3947680,"720p",2.50894376218268
"Run","50",9304010,"1080p",2.50925326601724
"Run","56",9418427,"1080p",2.51093773327362
"Run","67",5911212,"1080p",2.51129511226289
"Index","100",5844550,"1080p",2.51140640133517
"Index","51",4459958,"720p",2.51141437319631
"Run","96",6658736,"1080p",2.51856317819796
"Run","86",4356436,"720p",2.5190447554065
"Run","93",8772575,"1080p",2.51916964743126
"Index","1",8556838,"1080p",2.51963613138869
"Run","37",9050049,"1080p",2.5205785323071
"Index","24",5355590,"1080p",2.52133838895046
"Index","68",7767386,"1080p",2.52655598123539
"Index","90",3707522,"720p",2.52859667297988
"Run","48",4134053,"720p",2.53260705089838
"Index","53",4788606,"1080p",2.53360436859173
"Run","8",4489685,"720p",2.53500557570967
"Run","21",4563148,"720p",2.53548085615683
"Index","88",8308210,"1080p",2.5371384562202
"Index","106",4120558,"720p",2.53948487485486
"Index","3",8551702,"1080p",2.53978184794576
"Index","76",5243910,"1080p",2.54223187937863
"Run","67",2920202,"720p",2.54282181450876
"Index","96",6726542,"1080p",2.54420974157889
"Index","67",2927546,"720p",2.54921674314922
"Run","8",9430583,"1080p",2.54960761990864
"Run","39",4450671,"720p",2.55331668860084
"Index","47",4196638,"720p",2.55443820946252
"Index","101",3253294,"720p",2.55544933904441
"Index","61",3047854,"720p",2.56005368978693
"Run","51",4546405,"720p",2.56009291194482
"Run","91",8072962,"1080p",2.56229438942805
"Index","15",4118474,"720p",2.56525064684463
"Index","44",8361710,"1080p",2.5666525570572
"Index","51",9446482,"1080p",2.56712390265537
"Index","72",3133102,"720p",2.56755237374085
"Index","68",3905914,"720p",2.56974450677056
"Index","1",4188834,"720p",2.57466074473277
"Run","96",3498395,"720p",2.57587404529286
"Diff/Luma","103",2347167,"1080p",2.57597261563889
"Index","65",4890670,"1080p",2.57709544749163
"Index","96",3502742,"720p",2.57907474860821
"Index","99",3746726,"720p",2.58618378502251
"Index","44",4088050,"720p",2.5866318074628
"Index","46",7184858,"1080p",2.58676471964821
"Index","26",3792394,"720p",2.58918091524044
"Index","67",6095338,"1080p",2.58951844849927
"Index","85",6630518,"1080p",2.59038709392604
"Run","70",8563182,"1080p",2.60190117361085
"Run","90",7855346,"1080p",2.60630761701739
"Index","28",9579706,"1080p",2.60877637824824
"Index","2",3613838,"720p",2.61390451226145
"Index","28",4507482,"720p",2.61512362636566
"Index","17",4974082,"1080p",2.62684427939361
"Run","86",9299172,"1080p",2.62738795735454
"Run","115",4433318,"720p",2.62826501302774
"Index","43",8505742,"1080p",2.63271518673314
"Run","81",4483575,"720p",2.63281132098739
"Run","80",7677482,"1080p",2.63742810393638
"Run","63",874901,"720p",2.63887640517218
"Run","28",4553182,"720p",2.64163757577797
"Run","21",10050235,"1080p",2.64252819616829
"Run","33",5693078,"1080p",2.64465281568281
"Index","107",3872290,"720p",2.64553629927301
"Run","64",4548426,"720p",2.64796690933542
"Index","23",7470458,"1080p",2.65044354067614
"Run","64",10164980,"1080p",2.65364407527436
"Run","118",7992372,"1080p",2.65621291254215
"Index","30",5952038,"1080p",2.6562621471226
"Index","33",2925502,"720p",2.65716548620963
"Run","35",6182828,"1080p",2.65855933292943
"Run","39",9511853,"1080p",2.66068720749681
"Run","49",4401938,"720p",2.66208304582391
"Index","23",3742902,"720p",2.6663802886434
"Run","80",3929382,"720p",2.67234362630816
"Run","106",4345039,"720p",2.67783169686108
"Run","34",8630059,"1080p",2.68514926589828
"Index","3",4308342,"720p",2.6859518661769
"Index","76",2830474,"720p",2.6876929972159
"Run","118",3883985,"720p",2.68779704977841
"Index","46",3812562,"720p",2.68902156472061
"Index","109",2789954,"720p",2.69462881117584
"Run","20",3587867,"720p",2.69701978789874
"Index","85",3486918,"720p",2.69722667215355
"Run","28",9908745,"1080p",2.69838133801657
"Run","51",9934346,"1080p",2.69970313539461
"Run","47",4444673,"720p",2.70541384312071
"Run","31",906116,"1080p",2.7096932397921
"Index","55",8796042,"1080p",2.71298479027056
"Index","32",5863486,"1080p",2.71439589212571
"Run","43",8772521,"1080p",2.7152891849571
"Index","24",3056566,"720p",2.71590464817066
"Run","90",3985179,"720p",2.71796373983196
"Index","116",7288958,"1080p",2.72033090521221
"Run","63",1902589,"1080p",2.72042878529421
"Index","35",3343382,"720p",2.7244541324587
"Index","110",5483826,"1080p",2.72612193867025
"Run","70",4106051,"720p",2.72656649459275
"Run","20",7124160,"1080p",2.72735834248941
"Index","30",3174482,"720p",2.73116714287066
"Run","45",4942448,"1080p",2.73204706964485
"Index","20",3636846,"720p",2.73383757746326
"Index","35",6358594,"1080p",2.73413710085564
"Run","71",4371427,"720p",2.73443025131657
"Index","84",3892838,"720p",2.73598443663996
"Run","49",9773863,"1080p",2.7379753881304
"Run","35",3360943,"720p",2.73876423492982
"Index","55",4341362,"720p",2.73960868700956
"Index","17",2744282,"720p",2.73972310076033
"Run","68",4172714,"720p",2.74527521082764
"Index","87",5426106,"1080p",2.74532567598403
"Index","102",5200870,"1080p",2.74895702460381
"Index","88",4207738,"720p",2.75011061910753
"Index","43",4292150,"720p",2.75067995560101
"Run","44",4349328,"720p",2.75195023199045
"Run","1",4477291,"720p",2.75196042155056
"Index","100",3332210,"720p",2.75251857750346
"Index","22",2892230,"720p",2.75271418686702
"Run","31",458424,"720p",2.75745418017552
"Run","104",6077936,"1080p",2.76212441324688
"Run","68",8491936,"1080p",2.76223580147403
"Index","116",3864266,"720p",2.76480920623814
"Index","45",5001862,"1080p",2.76488946770263
"Run","106",9342190,"1080p",2.76659389525655
"Run","5",6483110,"1080p",2.77313861094762
"Run","23",3898647,"720p",2.77733040116432
"Run","115",9424999,"1080p",2.77845469555945
"Run","47",9588490,"1080p",2.78334744578222
"Index","22",5578814,"1080p",2.78541132745077
"Index","7",1951758,"720p",2.7872780397522
"Run","15",4482247,"720p",2.79183188143652
"Index","45",2594882,"720p",2.79216823067479
"Run","23",7876468,"1080p",2.79449181481809
"Run","55",4432476,"720p",2.7971060129428
"Run","43",4370248,"720p",2.80073007108452
"Run","99",4067910,"720p",2.80788156938375
"Index","104",6181090,"1080p",2.80900285713377
"Index","20",7343474,"1080p",2.81131881888588
"Run","81",9640216,"1080p",2.81206301330304
"Run","44",9163187,"1080p",2.8126683829436
"Index","65",2663058,"720p",2.81293987537987
"Index","11",5185246,"1080p",2.81613850507886
"Run","29",4125738,"1080p",2.81653793692903
"Run","3",4525466,"720p",2.82131359302955
"Run","14",4085918,"1080p",2.82601926517875
"Index","25",2656090,"720p",2.82765815878423
"Run","9",911264,"1080p",2.83124339775057
"Run","55",9181232,"1080p",2.83178988594476
"Index","7",3713650,"1080p",2.83373979024992
"Index","25",5046578,"1080p",2.83987707655591
"Run","107",8797480,"1080p",2.84116870072955
"Run","116",7616871,"1080p",2.84271216576013
"Run","99",8363298,"1080p",2.84553220069559
"Run","15",9838817,"1080p",2.85086832996973
"Run","10",2686299,"1080p",2.85326947649501
"Run","71",9314614,"1080p",2.85367121710521
"Run","77",4226115,"720p",2.85504906348697
"Run","45",2654523,"720p",2.85634367504786
"Run","27",6935919,"1080p",2.85676469267797
"Run","1",9714625,"1080p",2.86055668611371
"Index","110",2945146,"720p",2.86294511972253
"Index","102",3062530,"720p",2.86804231456474
"Run","107",4197998,"720p",2.86805897628419
"Run","61",6749706,"1080p",2.86810233834884
"Run","18",4412347,"720p",2.86910261112021
"Run","88",9403469,"1080p",2.87160565534267
"Run","116",4014189,"720p",2.87207627600684
